fecha,p_mensual,estacion
2017-05-01,129.0,areco
2018-05-01,349.0,areco
2019-05-01,56.0,areco
2020-05-01,1.5,areco
2021-05-01,64.25,areco
2022-05-01,7.75,areco
1982-06-01,48.0,areco
1983-06-01,37.0,areco
1984-06-01,42.0,areco
1985-06-01,11.0,areco
1986-06-01,75.0,areco
1987-06-01,0.0,areco
1988-06-01,20.0,areco
1989-06-01,56.0,areco
1990-06-01,0.0,areco
1991-06-01,48.0,areco
1992-06-01,201.0,areco
1993-06-01,136.0,areco
1994-06-01,32.0,areco
1995-06-01,16.0,areco
1996-06-01,16.0,areco
1997-06-01,68.0,areco
1998-06-01,15.0,areco
1999-06-01,20.0,areco
2000-06-01,102.0,areco
2001-06-01,55.0,areco
2002-06-01,5.0,areco
2003-06-01,16.0,areco
2004-06-01,14.0,areco
2005-06-01,54.0,areco
2006-06-01,50.0,areco
2007-06-01,30.0,areco
2008-06-01,23.0,areco
2009-06-01,15.0,areco
2010-06-01,28.0,areco
2011-06-01,80.0,areco
2012-06-01,3.0,areco
2013-06-01,7.0,areco
2014-06-01,28.0,areco
2015-06-01,58.0,areco
2016-06-01,46.0,areco
2017-06-01,3.0,areco
2018-06-01,2.0,areco
2019-06-01,130.0,areco
2020-06-01,29.25,areco
2021-06-01,2.5,areco
2022-06-01,0.25,areco
1982-07-01,65.0,areco
1983-07-01,0.0,areco
1984-07-01,18.0,areco
1985-07-01,82.0,areco
1986-07-01,0.0,areco
1987-07-01,112.0,areco
1988-07-01,21.0,areco
1989-07-01,43.0,areco
1990-07-01,28.0,areco
1991-07-01,66.0,areco
1992-07-01,22.0,areco
1993-07-01,19.0,areco
1994-07-01,26.0,areco
1995-07-01,0.0,areco
1996-07-01,17.0,areco
1997-07-01,23.0,areco
1998-07-01,30.0,areco
1999-07-01,22.0,areco
2000-07-01,13.0,areco
2001-07-01,10.0,areco
2002-07-01,29.0,areco
2003-07-01,74.0,areco
2004-07-01,38.0,areco
2005-07-01,57.0,areco
2006-07-01,20.0,areco
2007-07-01,6.0,areco
2008-07-01,13.0,areco
2009-07-01,215.0,areco
2010-07-01,94.0,areco
2011-07-01,49.0,areco
2012-07-01,20.0,areco
2013-07-01,35.0,areco
2014-07-01,60.0,areco
2015-07-01,68.0,areco
2016-07-01,120.0,areco
2017-07-01,58.0,areco
2018-07-01,66.0,areco
2019-07-01,21.0,areco
2020-07-01,7.0,areco
2021-07-01,35.0,areco
2022-07-01,18.5,areco
1982-08-01,11.0,areco
1983-08-01,54.0,areco
1984-08-01,4.0,areco
1985-08-01,23.0,areco
1986-08-01,0.0,areco
1987-08-01,26.0,areco
1988-08-01,0.0,areco
1989-08-01,131.0,areco
1990-08-01,20.0,areco
1991-08-01,65.0,areco
1992-08-01,55.0,areco
1993-08-01,39.0,areco
1994-08-01,27.0,areco
1995-08-01,0.0,areco
1996-08-01,36.0,areco
1997-08-01,132.0,areco
1998-08-01,7.0,areco
1999-08-01,56.0,areco
2000-08-01,62.0,areco
2001-08-01,206.0,areco
2002-08-01,102.0,areco
2003-08-01,8.0,areco
2004-08-01,47.0,areco
2005-08-01,76.0,areco
2006-08-01,2.0,areco
2007-08-01,27.0,areco
2008-08-01,14.0,areco
2009-08-01,5.0,areco
2010-08-01,12.0,areco
2011-08-01,16.0,areco
2012-08-01,227.0,areco
2013-08-01,10.0,areco
2014-08-01,9.0,areco
2015-08-01,352.0,areco
2016-08-01,37.0,areco
2017-08-01,82.0,areco
2018-08-01,71.0,areco
2019-08-01,23.0,areco
2020-08-01,14.75,areco
2021-08-01,25.0,areco
2022-08-01,4.5,areco
1982-09-01,168.0,areco
1983-09-01,65.0,areco
1984-09-01,83.0,areco
1985-09-01,53.0,areco
1986-09-01,0.0,areco
1987-09-01,36.0,areco
1988-09-01,42.0,areco
1989-09-01,16.0,areco
1990-09-01,75.0,areco
1991-09-01,7.0,areco
1992-09-01,68.0,areco
1993-09-01,52.0,areco
1994-09-01,23.0,areco
1995-09-01,32.0,areco
1996-09-01,80.0,areco
1997-09-01,20.0,areco
1998-09-01,18.0,areco
1999-09-01,59.0,areco
2000-09-01,157.0,areco
2001-09-01,57.0,areco
2002-09-01,15.0,areco
2003-09-01,41.0,areco
2004-09-01,16.0,areco
2005-09-01,64.0,areco
2006-09-01,20.0,areco
2007-09-01,107.0,areco
2008-09-01,30.0,areco
2009-09-01,145.0,areco
2010-09-01,92.0,areco
2011-09-01,20.0,areco
2012-09-01,99.0,areco
2013-09-01,91.0,areco
2014-09-01,88.0,areco
2015-09-01,54.0,areco
2016-09-01,40.0,areco
2017-09-01,153.0,areco
2018-09-01,195.0,areco
2019-09-01,17.0,areco
2020-09-01,100.5,areco
2021-09-01,96.75,areco
2022-09-01,1.75,areco
1982-10-01,80.0,areco
1983-10-01,118.0,areco
1984-10-01,254.0,areco
1985-10-01,203.0,areco
1986-10-01,0.0,areco
1987-10-01,93.0,areco
1988-10-01,85.0,areco
1989-10-01,57.0,areco
1990-10-01,109.0,areco
1991-10-01,206.0,areco
1992-10-01,99.0,areco
1993-10-01,315.0,areco
1994-10-01,140.0,areco
1995-10-01,198.0,areco
1996-10-01,47.0,areco
1997-10-01,197.0,areco
1998-10-01,49.0,areco
1999-10-01,26.0,areco
2000-10-01,143.0,areco
2001-10-01,203.0,areco
2002-10-01,78.0,areco
2003-10-01,32.0,areco
2004-10-01,61.0,areco
2005-10-01,35.0,areco
2006-10-01,196.0,areco
2007-10-01,168.0,areco
2008-10-01,113.0,areco
2009-10-01,151.0,areco
2010-10-01,59.0,areco
2011-10-01,82.0,areco
2012-10-01,303.0,areco
2013-10-01,36.0,areco
2014-10-01,135.0,areco
2015-10-01,123.0,areco
2016-10-01,117.0,areco
2017-10-01,93.0,areco
2018-10-01,73.0,areco
2019-10-01,86.0,areco
2020-10-01,84.95,areco
2021-10-01,27.75,areco
2022-10-01,15.75,areco
1982-11-01,80.0,areco
1983-11-01,112.0,areco
1984-11-01,77.0,areco
1985-11-01,194.0,areco
1986-11-01,0.0,areco
1987-11-01,187.0,areco
1988-11-01,84.0,areco
1989-11-01,50.0,areco
1990-11-01,164.0,areco
1991-11-01,67.0,areco
1992-11-01,73.0,areco
1993-11-01,172.0,areco
1994-11-01,14.0,areco
1995-11-01,138.0,areco
1996-11-01,196.0,areco
1997-11-01,165.0,areco
1998-11-01,78.0,areco
1999-11-01,50.0,areco
2000-11-01,106.0,areco
2001-11-01,152.0,areco
2002-11-01,175.0,areco
2003-11-01,125.0,areco
2004-11-01,121.0,areco
2005-11-01,152.0,areco
2006-11-01,96.0,areco
2007-11-01,30.0,areco
2008-11-01,108.0,areco
2009-11-01,187.0,areco
2010-11-01,66.0,areco
2011-11-01,53.0,areco
2012-11-01,90.0,areco
2013-11-01,143.0,areco
